UserID,InstallationDate,InstallationTime,ChangeOutMeterNo,ChangeOutMeterkWh,InstalledMeterNo,InstalledEndpointSN,InstalledMeterkWh,ServiceLatitude,ServiceLongitude,ServiceLocation,ServiceTimeZone,TenantGroup
rompkoh,09/23/22,10:10,400A2A48,,400A2A48,1074408008,,,,,,
rompkoh,09/23/22,10:10,00AA01FE,,00AA01FE,11141630,,,,,,
rompkoh,09/23/22,10:10,00AA01F7,,00AA01F7,11141623,,,,,,
rompkoh,09/23/22,10:10,00AA00DB,,00AA00DB,11141339,,,,,,
rompkoh,09/23/22,10:10,00AA0250,,00AA0250,11141712,,,,,,
rompkoh,09/23/22,10:10,00AA01F9,,00AA01F9,11141625,,,,,,
rompkoh,09/23/22,10:10,00AA00D1,,00AA00D1,11141329,,,,,,
rompkoh,09/23/22,10:10,00AA0129,,00AA0129,11141417,,,,,,
rompkoh,09/23/22,10:10,400A29F0,,400A29F0,1074407920,,,,,,
rompkoh,09/23/22,10:10,400A2A34,,400A2A34,1074407988,,,,,,
rompkoh,09/23/22,10:10,400A2A32,,400A2A32,1074407986,,,,,,
rompkoh,09/23/22,10:10,400A2A0C,,400A2A0C,1074407948,,,,,,
rompkoh,09/23/22,10:10,00AA01D5,,00AA01D5,11141589,,,,,,
rompkoh,09/23/22,10:10,00AA0107,,00AA0107,11141383,,,,,,
rompkoh,09/23/22,10:10,00AA01F5,,00AA01F5,11141621,,,,,,
rompkoh,09/23/22,10:10,00AA0232,,00AA0232,11141682,,,,,,
rompkoh,09/23/22,10:10,00AA023E,,00AA023E,11141694,,,,,,
rompkoh,09/23/22,10:10,00AA00E3,,00AA00E3,11141347,,,,,,
rompkoh,09/23/22,10:10,400A2A1C,,400A2A1C,1074407964,,,,,,
rompkoh,09/23/22,10:10,00AA023A,,00AA023A,11141690,,,,,,
rompkoh,09/23/22,10:10,00AA0238,,00AA0238,11141688,,,,,,
rompkoh,09/23/22,10:10,00AA00E9,,00AA00E9,11141353,,,,,,
rompkoh,09/23/22,10:10,400A2A02,,400A2A02,1074407938,,,,,,
rompkoh,09/23/22,10:10,400A2A52,,400A2A52,1074408018,,,,,,
rompkoh,09/23/22,10:10,400A29D4,,400A29D4,1074407892,,,,,,
rompkoh,09/23/22,10:10,400A2A24,,400A2A24,1074407972,,,,,,
rompkoh,09/23/22,10:10,400A29E0,,400A29E0,1074407904,,,,,,
rompkoh,09/23/22,10:10,00AA0204,,00AA0204,11141636,,,,,,
rompkoh,09/23/22,10:10,00AA00CF,,00AA00CF,11141327,,,,,,
rompkoh,09/23/22,10:10,00AA0087,,00AA0087,11141255,,,,,,
rompkoh,09/23/22,10:10,400A29D2,,400A29D2,1074407890,,,,,,
rompkoh,09/23/22,10:10,00AA00B1,,00AA00B1,11141297,,,,,,
rompkoh,09/23/22,10:10,00AA007D,,00AA007D,11141245,,,,,,
rompkoh,09/23/22,10:10,00AA021C,,00AA021C,11141660,,,,,,
rompkoh,09/23/22,10:10,00AA0147,,00AA0147,11141447,,,,,,
rompkoh,09/23/22,10:10,00AA0153,,00AA0153,11141459,,,,,,
rompkoh,09/23/22,10:10,00AA014B,,00AA014B,11141451,,,,,,
rompkoh,09/23/22,10:10,00AA0145,,00AA0145,11141445,,,,,,
rompkoh,09/23/22,10:10,00AA01EF,,00AA01EF,11141615,,,,,,
rompkoh,09/23/22,10:10,400A29F2,,400A29F2,1074407922,,,,,,
rompkoh,09/23/22,10:10,400A29F4,,400A29F4,1074407924,,,,,,
rompkoh,09/23/22,10:10,00AA0208,,00AA0208,11141640,,,,,,
rompkoh,09/23/22,10:10,00AA00CB,,00AA00CB,11141323,,,,,,
rompkoh,09/23/22,10:10,00AA020C,,00AA020C,11141644,,,,,,
rompkoh,09/23/22,10:10,00AA0141,,00AA0141,11141441,,,,,,
rompkoh,09/23/22,10:10,00AA0151,,00AA0151,11141457,,,,,,
rompkoh,09/23/22,10:10,00AA00C9,,00AA00C9,11141321,,,,,,
rompkoh,09/23/22,10:10,00AA0228,,00AA0228,11141672,,,,,,
rompkoh,09/23/22,10:10,00AA010F,,00AA010F,11141391,,,,,,
rompkoh,09/23/22,10:10,400A2A3C,,400A2A3C,1074407996,,,,,,
rompkoh,09/23/22,10:10,400A29FA,,400A29FA,1074407930,,,,,,
rompkoh,09/23/22,10:10,400A29F6,,400A29F6,1074407926,,,,,,
rompkoh,09/23/22,10:10,400A2A50,,400A2A50,1074408016,,,,,,
rompkoh,09/23/22,10:10,400A2A4E,,400A2A4E,1074408014,,,,,,
rompkoh,09/23/22,10:10,00AA0224,,00AA0224,11141668,,,,,,
rompkoh,09/23/22,10:10,00AA001B,,00AA001B,11141147,,,,,,
